timestamp,source,feedback_text
"2025-03-27T15:24:10",Twitter,"This process is too confusing and needs to be streamlined."
"2025-02-18T20:54:47",Email,"My family loved the library event last weekend."
"2025-06-11T16:20:54",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-04-22T19:32:44",Twitter,"The library is looking beautiful this spring! Great job by the maintenance team."
"2025-04-14T18:15:04",Twitter,"When will the traffic light on Oak Street be repaired? It's a safety hazard."
"2025-04-08T05:09:17",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-06-22T10:10:22",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-01-20T09:39:18",Facebook,"When will the crosswalk on Oak Street be repaired? It's a safety hazard."
"2025-02-24T15:44:28",Twitter,"The city staff I spoke with was very helpful."
"2025-03-13T21:44:26",311-App,"Just wanted to say thank you for the excellent service."
"2025-04-14T00:33:58",311-App,"When will the road on Oak Street be repaired? It's a safety hazard."
"2025-04-03T02:57:01",Email,"I have a question about my utility bill."
"2025-02-25T15:04:16",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-01-11T05:28:52",Email,"This process is too confusing and needs to be streamlined."
"2025-05-16T14:20:09",Facebook,"Just wanted to say thank you for the excellent service."
"2025-06-25T11:29:10",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-29T23:41:26",Twitter,"My street sweeping was missed again this week on Elm Street."
"2025-03-15T14:00:49",Email,"The recycling team left a huge mess on the curb."
"2025-03-19T12:50:48",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-01-16T04:40:27",Facebook,"The park is looking beautiful this spring! Great job by the maintenance team."
"2025-06-08T22:19:49",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-06-07T02:59:49",Email,"The city staff I spoke with was very helpful."
"2025-06-09T01:46:39",Email,"I'm very disappointed with the lack of response to my issue."
"2025-06-20T19:12:21",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-06-24T07:38:41",311-App,"This process is too confusing and needs to be streamlined."
"2025-05-20T02:01:46",311-App,"When will the pothole on Oak Street be repaired? It's a safety hazard."
"2025-04-08T14:32:40",Facebook,"There's a massive road on Maple Ave that needs fixing immediately."
"2025-05-03T18:59:34",Twitter,"The city staff I spoke with was very helpful."
"2025-05-07T01:24:48",Facebook,"This process is too confusing and needs to be streamlined."
"2025-04-22T05:26:26",Email,"The road at 1st and Main is still broken, causing huge delays."
"2025-01-14T14:51:57",Email,"This process is too confusing and needs to be streamlined."
"2025-05-21T20:54:33",Email,"Just wanted to say thank you for the excellent service."
"2025-06-02T00:58:51",311-App,"Just wanted to say thank you for the excellent service."
"2025-03-27T20:24:14",Twitter,"When will the pothole on Oak Street be repaired? It's a safety hazard."
"2025-01-09T10:28:52",Twitter,"Why was my street sweeping request denied?"
"2025-03-02T12:11:12",Twitter,"When will the traffic light on Oak Street be repaired? It's a safety hazard."
"2025-05-22T03:49:02",Email,"The recycling team left a huge mess on the curb."
"2025-02-20T07:30:40",Facebook,"The city staff I spoke with was very helpful."
"2025-02-03T23:52:29",Email,"Just wanted to say thank you for the excellent service."
"2025-05-11T00:34:19",Twitter,"The city staff I spoke with was very helpful."
"2025-05-20T17:03:01",Facebook,"Requesting information on an upcoming city project."
"2025-04-12T15:20:56",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-06-22T00:55:54",311-App,"My bulk pickup was missed again this week on Elm Street."
"2025-04-28T05:47:44",Facebook,"This process is too confusing and needs to be streamlined."
"2025-05-24T10:33:23",311-App,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-02-08T00:51:02",311-App,"I have a question about my utility bill."
"2025-06-10T11:21:57",Twitter,"When will the road on Oak Street be repaired? It's a safety hazard."
"2025-02-09T09:19:50",Email,"The pothole at 1st and Main is still broken, causing huge delays."
"2025-01-29T04:36:13",Email,"Just wanted to say thank you for the excellent service."
"2025-04-27T07:44:42",Twitter,"My family loved the playground event last weekend."
"2025-02-19T00:59:21",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-04-28T08:16:25",Email,"This process is too confusing and needs to be streamlined."
"2025-04-13T17:04:36",Email,"The recycling team left a huge mess on the curb."
"2025-02-12T08:45:14",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-08T19:41:49",311-App,"The recycling team left a huge mess on the curb."
"2025-03-02T21:07:33",Facebook,"This process is too confusing and needs to be streamlined."
"2025-04-21T04:55:18",Facebook,"My trash was missed again this week on Elm Street."
"2025-04-26T11:12:29",Facebook,"The traffic light at 1st and Main is still broken, causing huge delays."
"2025-05-25T04:23:58",Twitter,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-03-19T04:21:33",311-App,"The new online system for the park is a fantastic improvement."
"2025-05-13T02:32:20",Email,"This process is too confusing and needs to be streamlined."
"2025-04-02T08:19:24",Email,"I'm very disappointed with the lack of response to my issue."
"2025-01-18T23:13:11",Email,"The park is looking beautiful this spring! Great job by the maintenance team."
"2025-03-24T04:54:27",Facebook,"This process is too confusing and needs to be streamlined."
"2025-01-22T10:28:32",Facebook,"This process is too confusing and needs to be streamlined."
"2025-05-19T01:59:44",Facebook,"My family loved the community center event last weekend."
"2025-05-24T03:15:44",Twitter,"Why was my trash request denied?"
"2025-01-16T02:55:41",Email,"The playground is looking beautiful this spring! Great job by the maintenance team."
"2025-03-22T22:32:42",Twitter,"When will the crosswalk on Oak Street be repaired? It's a safety hazard."
"2025-03-10T03:16:08",Facebook,"The new online system for the summer program is a fantastic improvement."
"2025-01-02T13:57:14",311-App,"The new online system for the playground is a fantastic improvement."
"2025-01-28T14:37:06",311-App,"My recycling was missed again this week on Elm Street."
"2025-05-09T06:51:17",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-01-15T04:30:34",Email,"Just wanted to say thank you for the excellent service."
"2025-06-16T18:43:33",Email,"Why was my bulk pickup request denied?"
"2025-03-06T23:21:40",311-App,"The city staff I spoke with was very helpful."
"2025-01-21T04:03:11",311-App,"Why was my bulk pickup request denied?"
"2025-03-09T01:45:12",Facebook,"The city staff I spoke with was very helpful."
"2025-06-06T08:29:32",311-App,"The community center is looking beautiful this spring! Great job by the maintenance team."
"2025-06-27T18:52:37",Email,"There's a massive road on Maple Ave that needs fixing immediately."
"2025-02-12T18:42:07",Email,"The city staff I spoke with was very helpful."
"2025-02-02T20:25:33",Twitter,"The park is looking beautiful this spring! Great job by the maintenance team."
"2025-05-23T00:28:21",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-01-31T02:08:56",Email,"The summer program is looking beautiful this spring! Great job by the maintenance team."
"2025-04-20T06:55:31",Email,"I'm very disappointed with the lack of response to my issue."
"2025-01-20T18:00:33",Email,"Just wanted to say thank you for the excellent service."
"2025-02-18T03:45:47",Email,"Just wanted to say thank you for the excellent service."
"2025-06-29T19:18:10",Email,"This process is too confusing and needs to be streamlined."
"2025-05-31T17:09:29",311-App,"I have a question about my utility bill."
"2025-06-17T21:38:01",311-App,"The new online system for the community center is a fantastic improvement."
"2025-04-07T13:41:00",Twitter,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-06-02T00:24:31",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-04-28T13:39:48",Twitter,"Just wanted to say thank you for the excellent service."
"2025-02-04T17:45:50",Twitter,"The new online system for the summer program is a fantastic improvement."
"2025-04-01T07:20:36",Email,"This process is too confusing and needs to be streamlined."
"2025-03-18T18:06:13",Facebook,"Why was my street sweeping request denied?"
"2025-06-21T22:11:32",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-13T10:53:43",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-04-24T03:41:34",Facebook,"Just wanted to say thank you for the excellent service."
"2025-06-30T09:56:59",Email,"Just wanted to say thank you for the excellent service."
"2025-04-12T03:05:59",Twitter,"The city staff I spoke with was very helpful."
"2025-01-22T04:09:50",311-App,"Just wanted to say thank you for the excellent service."
"2025-02-13T13:15:29",Facebook,"Just wanted to say thank you for the excellent service."
"2025-01-30T04:28:08",Email,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-01-04T09:41:31",Twitter,"Just wanted to say thank you for the excellent service."
"2025-05-21T13:15:16",Twitter,"The city staff I spoke with was very helpful."
"2025-04-08T17:04:09",311-App,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-05-17T07:03:14",Email,"The city staff I spoke with was very helpful."
"2025-06-08T07:36:30",Twitter,"Just wanted to say thank you for the excellent service."
"2025-04-15T09:46:03",311-App,"My trash was missed again this week on Elm Street."
"2025-05-26T14:49:00",311-App,"This process is too confusing and needs to be streamlined."
"2025-04-26T02:00:50",Email,"The new online system for the park is a fantastic improvement."
"2025-01-13T06:57:08",Email,"The city staff I spoke with was very helpful."
"2025-06-15T16:01:59",Email,"My family loved the summer program event last weekend."
"2025-04-21T18:32:21",Email,"Just wanted to say thank you for the excellent service."
"2025-01-23T23:16:07",311-App,"The pothole at 1st and Main is still broken, causing huge delays."
"2025-02-24T05:53:12",Email,"I'm very disappointed with the lack of response to my issue."
"2025-02-28T13:11:01",Email,"The bulk pickup team left a huge mess on the curb."
"2025-03-03T01:32:53",311-App,"Just wanted to say thank you for the excellent service."
"2025-01-11T19:47:00",311-App,"This process is too confusing and needs to be streamlined."
"2025-02-07T16:56:24",Twitter,"The city staff I spoke with was very helpful."
"2025-02-12T15:01:23",Email,"The summer program is looking beautiful this spring! Great job by the maintenance team."
"2025-01-20T00:35:57",Twitter,"The pothole at 1st and Main is still broken, causing huge delays."
"2025-03-28T22:09:22",311-App,"The city staff I spoke with was very helpful."
"2025-05-18T02:11:16",Facebook,"My bulk pickup was missed again this week on Elm Street."
"2025-01-04T23:26:39",311-App,"My trash was missed again this week on Elm Street."
"2025-04-23T11:22:06",Twitter,"The city staff I spoke with was very helpful."
"2025-04-23T10:04:14",Twitter,"My bulk pickup was missed again this week on Elm Street."
"2025-06-24T18:11:55",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-06-09T13:53:02",Twitter,"The city staff I spoke with was very helpful."
"2025-04-30T06:09:50",Facebook,"The trash team left a huge mess on the curb."
"2025-03-06T16:37:31",Twitter,"The city staff I spoke with was very helpful."
"2025-06-19T02:52:23",Facebook,"When will the street sign on Oak Street be repaired? It's a safety hazard."
"2025-05-19T23:12:11",311-App,"My street sweeping was missed again this week on Elm Street."
"2025-03-12T01:07:03",Email,"This process is too confusing and needs to be streamlined."
"2025-04-25T19:59:17",311-App,"When will the crosswalk on Oak Street be repaired? It's a safety hazard."
"2025-02-28T20:48:13",Facebook,"My family loved the park event last weekend."
"2025-01-13T15:55:38",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-04-16T10:20:32",Twitter,"My family loved the library event last weekend."
"2025-01-06T08:52:52",Facebook,"The city staff I spoke with was very helpful."
"2025-03-13T16:23:22",Facebook,"The city staff I spoke with was very helpful."
"2025-05-14T01:26:49",Email,"My family loved the park event last weekend."
"2025-05-13T09:56:20",Email,"Why was my trash request denied?"
"2025-01-03T23:25:11",Email,"I'm very disappointed with the lack of response to my issue."
"2025-04-08T06:23:25",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-06-12T18:57:38",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-04-23T19:16:24",311-App,"Just wanted to say thank you for the excellent service."
"2025-06-18T06:52:17",311-App,"Just wanted to say thank you for the excellent service."
"2025-06-22T07:31:46",Twitter,"The new online system for the community center is a fantastic improvement."
"2025-06-18T16:10:54",Facebook,"I have a question about my utility bill."
"2025-04-10T00:02:41",311-App,"Just wanted to say thank you for the excellent service."
"2025-01-26T21:32:17",311-App,"I have a question about my utility bill."
"2025-06-22T11:17:56",Facebook,"The city staff I spoke with was very helpful."
"2025-04-11T09:04:49",Email,"My family loved the community center event last weekend."
"2025-04-22T10:55:07",Facebook,"Just wanted to say thank you for the excellent service."
"2025-03-23T08:57:03",Email,"I'm very disappointed with the lack of response to my issue."
"2025-06-17T10:50:07",Email,"The city staff I spoke with was very helpful."
"2025-02-24T02:57:32",Twitter,"Just wanted to say thank you for the excellent service."
"2025-02-16T16:14:54",Facebook,"The city staff I spoke with was very helpful."
"2025-05-31T09:39:16",Email,"Just wanted to say thank you for the excellent service."
"2025-04-06T08:58:37",Twitter,"The new online system for the playground is a fantastic improvement."
"2025-06-08T16:58:04",Email,"My family loved the library event last weekend."
"2025-04-07T19:23:59",311-App,"The city staff I spoke with was very helpful."
"2025-05-24T08:29:15",Twitter,"Just wanted to say thank you for the excellent service."
"2025-04-17T13:55:03",Facebook,"There's a massive road on Maple Ave that needs fixing immediately."
"2025-04-16T23:35:45",Email,"There's a massive street sign on Maple Ave that needs fixing immediately."
"2025-01-28T22:44:52",Twitter,"Requesting information on an upcoming city project."
"2025-01-30T01:30:13",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-04-21T12:02:22",Email,"Why was my trash request denied?"
"2025-02-07T08:38:21",Facebook,"Just wanted to say thank you for the excellent service."
"2025-03-30T19:17:01",311-App,"The city staff I spoke with was very helpful."
"2025-05-09T22:13:09",Twitter,"When will the traffic light on Oak Street be repaired? It's a safety hazard."
"2025-03-20T15:35:54",Twitter,"Why was my street sweeping request denied?"
"2025-02-15T01:32:51",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-01-15T23:57:30",Twitter,"There's a massive pothole on Maple Ave that needs fixing immediately."
"2025-01-19T17:15:55",Twitter,"Why was my recycling request denied?"
"2025-03-22T06:32:35",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-02-16T14:27:46",Twitter,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-04-11T03:07:29",Email,"There's a massive traffic light on Maple Ave that needs fixing immediately."
"2025-05-15T15:40:19",Facebook,"I have a question about my utility bill."
"2025-05-24T06:24:16",Facebook,"The new online system for the library is a fantastic improvement."
"2025-04-25T09:20:46",Email,"My street sweeping was missed again this week on Elm Street."
"2025-01-11T17:30:44",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-01-14T10:06:02",311-App,"When will the street sign on Oak Street be repaired? It's a safety hazard."
"2025-03-06T03:26:17",Email,"The traffic light at 1st and Main is still broken, causing huge delays."
"2025-01-22T20:19:56",311-App,"There's a massive pothole on Maple Ave that needs fixing immediately."
"2025-04-12T06:05:05",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-02-25T20:37:01",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-04-24T06:29:27",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-01-25T23:51:51",Email,"Just wanted to say thank you for the excellent service."
"2025-04-20T02:19:18",Email,"The street sweeping team left a huge mess on the curb."
"2025-04-03T10:21:15",Email,"This process is too confusing and needs to be streamlined."
"2025-06-17T01:32:54",Email,"The new online system for the community center is a fantastic improvement."
"2025-01-09T19:45:26",Facebook,"My recycling was missed again this week on Elm Street."
"2025-05-11T10:51:33",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-27T07:22:54",Facebook,"My family loved the community center event last weekend."
"2025-05-04T16:48:50",311-App,"The summer program is looking beautiful this spring! Great job by the maintenance team."
"2025-04-07T09:32:09",Twitter,"Why was my bulk pickup request denied?"
"2025-06-06T08:39:49",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-06-05T00:42:06",311-App,"The city staff I spoke with was very helpful."
"2025-03-09T08:15:55",Facebook,"I have a question about my utility bill."
"2025-01-30T02:38:25",311-App,"The city staff I spoke with was very helpful."
"2025-03-17T09:45:29",311-App,"Why was my bulk pickup request denied?"
"2025-02-11T23:07:43",Facebook,"My trash was missed again this week on Elm Street."
"2025-03-31T08:58:36",Twitter,"The new online system for the playground is a fantastic improvement."
"2025-05-29T15:24:38",Email,"I have a question about my utility bill."
"2025-04-29T22:10:53",311-App,"This process is too confusing and needs to be streamlined."
"2025-06-16T02:09:53",Facebook,"This process is too confusing and needs to be streamlined."
"2025-06-01T18:45:09",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-03-30T22:34:22",Email,"This process is too confusing and needs to be streamlined."
"2025-06-29T03:26:00",311-App,"My street sweeping was missed again this week on Elm Street."
"2025-03-02T04:08:34",311-App,"When will the crosswalk on Oak Street be repaired? It's a safety hazard."
"2025-06-14T15:18:13",Facebook,"Just wanted to say thank you for the excellent service."
"2025-05-23T07:45:09",Email,"When will the pothole on Oak Street be repaired? It's a safety hazard."
"2025-04-26T12:07:51",311-App,"The recycling team left a huge mess on the curb."
"2025-06-27T20:16:41",Twitter,"The trash team left a huge mess on the curb."
"2025-06-12T21:46:03",Facebook,"Just wanted to say thank you for the excellent service."
"2025-02-14T10:10:56",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-04-26T17:01:35",Twitter,"The city staff I spoke with was very helpful."
"2025-03-01T00:22:08",Twitter,"There's a massive traffic light on Maple Ave that needs fixing immediately."
"2025-06-09T00:01:17",Email,"The summer program is looking beautiful this spring! Great job by the maintenance team."
"2025-03-23T04:35:14",Facebook,"This process is too confusing and needs to be streamlined."
"2025-03-07T06:47:43",Facebook,"My family loved the summer program event last weekend."
"2025-01-22T08:00:06",Twitter,"This process is too confusing and needs to be streamlined."
"2025-01-23T13:38:32",Email,"The city staff I spoke with was very helpful."
"2025-01-16T15:09:19",Email,"My family loved the park event last weekend."
"2025-04-24T22:16:27",Email,"My family loved the park event last weekend."
"2025-06-01T01:38:45",Twitter,"This process is too confusing and needs to be streamlined."
"2025-06-27T09:56:40",Twitter,"There's a massive street sign on Maple Ave that needs fixing immediately."
"2025-01-10T14:32:05",311-App,"There's a massive traffic light on Maple Ave that needs fixing immediately."
"2025-05-26T22:24:04",Twitter,"My family loved the library event last weekend."
"2025-04-07T00:23:34",Facebook,"When will the street sign on Oak Street be repaired? It's a safety hazard."
"2025-05-30T03:00:06",Email,"I'm very disappointed with the lack of response to my issue."
"2025-02-24T10:52:04",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-04-06T16:24:44",Twitter,"Just wanted to say thank you for the excellent service."
"2025-04-20T18:53:23",Facebook,"I have a question about my utility bill."
"2025-04-17T12:02:42",Facebook,"Requesting information on an upcoming city project."
"2025-03-18T15:09:14",Twitter,"When will the traffic light on Oak Street be repaired? It's a safety hazard."
"2025-06-07T11:54:19",Facebook,"The pothole at 1st and Main is still broken, causing huge delays."
"2025-02-23T04:09:59",Twitter,"The pothole at 1st and Main is still broken, causing huge delays."
"2025-03-10T12:10:19",Facebook,"The trash team left a huge mess on the curb."
"2025-02-16T08:07:37",311-App,"Just wanted to say thank you for the excellent service."
"2025-06-14T20:46:27",Facebook,"The city staff I spoke with was very helpful."
"2025-02-10T10:08:34",Facebook,"Just wanted to say thank you for the excellent service."
"2025-02-18T15:40:24",311-App,"This process is too confusing and needs to be streamlined."
"2025-01-27T09:43:23",311-App,"This process is too confusing and needs to be streamlined."
"2025-01-08T16:26:57",Twitter,"Why was my bulk pickup request denied?"
"2025-04-19T06:15:25",Email,"Requesting information on an upcoming city project."
"2025-05-24T04:50:42",Email,"The recycling team left a huge mess on the curb."
"2025-06-09T18:32:23",Twitter,"I have a question about my utility bill."
"2025-02-06T17:11:08",Facebook,"The new online system for the summer program is a fantastic improvement."
"2025-01-27T17:03:05",Email,"I'm very disappointed with the lack of response to my issue."
"2025-02-09T13:42:14",Email,"The playground is looking beautiful this spring! Great job by the maintenance team."
"2025-05-07T13:54:42",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-03-21T16:57:18",Email,"My family loved the library event last weekend."
"2025-01-29T04:39:21",311-App,"Just wanted to say thank you for the excellent service."
"2025-03-25T01:07:45",Email,"Just wanted to say thank you for the excellent service."
"2025-04-30T06:50:16",Facebook,"My bulk pickup was missed again this week on Elm Street."
"2025-05-30T04:29:18",Twitter,"The street sweeping team left a huge mess on the curb."
"2025-04-02T08:06:02",Facebook,"Just wanted to say thank you for the excellent service."
"2025-05-26T00:39:06",Email,"When will the crosswalk on Oak Street be repaired? It's a safety hazard."
"2025-02-27T00:44:41",Twitter,"Requesting information on an upcoming city project."
"2025-05-31T14:28:50",Twitter,"This process is too confusing and needs to be streamlined."
"2025-01-28T13:23:08",Facebook,"This process is too confusing and needs to be streamlined."
"2025-01-09T16:24:56",Email,"Just wanted to say thank you for the excellent service."
"2025-04-19T22:09:12",Twitter,"My street sweeping was missed again this week on Elm Street."
"2025-03-11T19:01:07",Email,"This process is too confusing and needs to be streamlined."
"2025-03-03T16:44:44",Twitter,"The city staff I spoke with was very helpful."
"2025-03-20T01:33:30",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-16T13:27:13",Email,"Just wanted to say thank you for the excellent service."
"2025-05-07T16:28:40",Twitter,"This process is too confusing and needs to be streamlined."
"2025-04-15T12:38:28",311-App,"The city staff I spoke with was very helpful."
"2025-01-04T02:56:30",311-App,"My street sweeping was missed again this week on Elm Street."
"2025-03-23T17:16:45",Facebook,"This process is too confusing and needs to be streamlined."
"2025-06-14T23:41:26",311-App,"Just wanted to say thank you for the excellent service."
